ID,Description,species,direction,p.adjust,qvalue,neg_log10_padj,Count,organelle
GO:0016323,basolateral plasma membrane,Homo sapiens,up,0.0306810484799383,0.0299004968360147,1.51312980309101,15,Plasma membrane
GO:0009925,basal plasma membrane,Homo sapiens,up,0.0306810484799383,0.0299004968360147,1.51312980309101,16,Plasma membrane
GO:0045178,basal part of cell,Homo sapiens,up,0.0415292691400857,0.0404727296505883,1.38164571182826,16,Plasma membrane
GO:0045177,apical part of cell,Homo sapiens,down,0.000136506176361954,0.000125688458753124,3.86484769807941,41,Plasma membrane
GO:0016324,apical plasma membrane,Homo sapiens,down,0.00155741076211209,0.00143399048711436,2.80759682854205,34,Plasma membrane
GO:0016323,basolateral plasma membrane,Mus musculus,up,4.4187773542014e-11,4.02249146953433e-11,10.3546978803743,43,Plasma membrane
GO:0045178,basal part of cell,Mus musculus,up,4.4187773542014e-11,4.02249146953433e-11,10.3546978803743,47,Plasma membrane
GO:0009925,basal plasma membrane,Mus musculus,up,4.72330346514862e-11,4.29970699440593e-11,10.3257541507592,45,Plasma membrane
GO:0016324,apical plasma membrane,Mus musculus,up,5.9840126630411e-08,5.44735295789044e-08,7.22300749611234,48,Plasma membrane
GO:0030057,desmosome,Mus musculus,up,1.84339450142478e-05,1.67807473936595e-05,4.73438171228088,10,Plasma membrane
GO:0043235,receptor complex,Mus musculus,up,0.00119666266012577,0.00108934326317424,2.92202826019832,34,Plasma membrane
GO:0043230,extracellular organelle,Mus musculus,up,0.00493136040410065,0.00448910491944876,2.307033256282,15,Extracellular
GO:0065010,extracellular membrane-bounded organelle,Mus musculus,up,0.00493136040410065,0.00448910491944876,2.307033256282,15,Extracellular
GO:1903561,extracellular vesicle,Mus musculus,up,0.00641497546938609,0.00583966605114032,2.1928050000109,14,Extracellular
GO:0005912,adherens junction,Mus musculus,up,0.00641497546938609,0.00583966605114032,2.1928050000109,18,Plasma membrane
GO:0043256,laminin complex,Mus musculus,up,0.0152270939306409,0.0138614939228752,1.81738297324394,4,Extracellular
GO:0034361,very-low-density lipoprotein particle,Mus musculus,up,0.0161765766863948,0.0147258249310574,1.79111337910874,6,Extracellular
GO:0034385,triglyceride-rich plasma lipoprotein particle,Mus musculus,up,0.0161765766863948,0.0147258249310574,1.79111337910874,6,Extracellular
GO:0009897,external side of plasma membrane,Mus musculus,up,0.0240235479051311,0.0218690621342256,1.61936285364267,34,Plasma membrane
GO:0016328,lateral plasma membrane,Mus musculus,up,0.0240235479051311,0.0218690621342256,1.61936285364267,10,Plasma membrane
GO:0034358,plasma lipoprotein particle,Mus musculus,up,0.0266675853671345,0.0242759763739588,1.57401630599005,7,Extracellular
GO:1990777,lipoprotein particle,Mus musculus,up,0.0266675853671345,0.0242759763739588,1.57401630599005,7,Extracellular
GO:0005604,basement membrane,Mus musculus,up,0.0273759065368441,0.0249207737091625,1.56263149051053,12,Cell wall/Extracellular matrix
