human_ensembl,species,species_gene_id,source
ENSG00000121410,Mus musculus,ENSMUSG00000022347,babelgene
ENSG00000148584,Mus musculus,ENSMUSG00000052595,babelgene
ENSG00000175899,Mus musculus,ENSMUSG00000030111,babelgene
ENSG00000184389,Mus musculus,ENSMUSG00000028794,babelgene
ENSG00000128274,Mus musculus,ENSMUSG00000047878,babelgene
ENSG00000118017,Mus musculus,ENSMUSG00000037953,babelgene
ENSG00000094914,Mus musculus,ENSMUSG00000036678,babelgene
ENSG00000081760,Mus musculus,ENSMUSG00000029482,babelgene
ENSG00000114771,Mus musculus,ENSMUSG00000027761,babelgene
ENSG00000109576,Mus musculus,ENSMUSG00000057228,babelgene
ENSG00000103591,Mus musculus,ENSMUSG00000037257,babelgene
ENSG00000115977,Mus musculus,ENSMUSG00000057230,babelgene
ENSG00000087884,Mus musculus,ENSMUSG00000035642,babelgene
ENSG00000127837,Mus musculus,ENSMUSG00000006299,babelgene
ENSG00000129673,Mus musculus,ENSMUSG00000020804,babelgene
ENSG00000131043,Mus musculus,ENSMUSG00000027628,babelgene
ENSG00000205002,Mus musculus,ENSMUSG00000068522,babelgene
ENSG00000090861,Mus musculus,ENSMUSG00000031960,babelgene
ENSG00000124608,Mus musculus,ENSMUSG00000023938,babelgene
ENSG00000266967,Mus musculus,ENSMUSG00000075528,babelgene
ENSG00000157426,Mus musculus,ENSMUSG00000055923,babelgene
ENSG00000149313,Mus musculus,ENSMUSG00000025894,babelgene
ENSG00000008311,Mus musculus,ENSMUSG00000029695,babelgene
ENSG00000275700,Mus musculus,ENSMUSG00000018697,babelgene
ENSG00000181409,Mus musculus,ENSMUSG00000025375,babelgene
ENSG00000183044,Mus musculus,ENSMUSG00000057880,babelgene
ENSG00000165029,Mus musculus,ENSMUSG00000015243,babelgene
ENSG00000144452,Mus musculus,ENSMUSG00000050296,babelgene
ENSG00000179869,Mus musculus,ENSMUSG00000004668,babelgene
ENSG00000107331,Mus musculus,ENSMUSG00000026944,babelgene
