gene_id,symbol,og_id,human_ortholog
AT1G01010,ANAC001|NAC001|NTL10,261582at2759,
AT1G01030,NGA3,647125at2759,
AT1G01100,P1w|RPP1.1|RPP1A,4942805at2759,ENSG00000137818.12|ENSG00000137818.12
AT1G01110,IQD18,664725at2759,
AT1G01120,KCS1,139695at2759,
AT1G01200,ATRAB-A3|ATRABA3|RABA3,35153at2759,
AT1G01220,AtFKGP|FKGP,5016144at2759,ENSG00000157353.17|ENSG00000157353.17
AT1G01225,,633480at2759,
AT1G01230,AtORM1|ORM1,4839657at2759,ENSG00000123353.10|ENSG00000172057.10|ENSG00000128699.14|ENSG00000123353.10|ENSG00000172057.10
AT1G01240,,613569at2759,
AT1G01260,bHLH013|bHLH13|JAM2,77602at2759,
AT1G01305,,263356at2759,
AT1G01340,ACBK1|ATCNGC10|CNGC10,4782124at2759,
AT1G01380,ETC1,320559at2759,
AT1G01450,MLKL3,719033at2759,
AT1G01470,AtLEA14|LEA1|LEA14|LSR3,632524at2759,
AT1G01490,AtHMP01,693868at2759,
AT1G01510,AN|DOQ,534640at2759,
AT1G01520,ASG4|REV3,5005315at2759,
AT1G01610,ATGPAT4|GPAT4,609129at2759,
AT1G01620,PIP1;3|PIP1C|TMP-B,4819616at2759,
AT1G01640,,633146at2759,
AT1G01650,ATSPPL4|SPPL4,4947838at2759,ENSG00000185294.7;ENSG00000277106.2;ENSG00000278194.2|ENSG00000157837.16|ENSG00000185294.7
AT1G01720,ANAC002|ANAC2|ATAF1,584753at2759,
AT1G01750,ADF11,4804807at2759,
AT1G01780,PLIM2b,5014239at2759,
AT1G01800,,603206at2759,
AT1G01820,PEX11C,534510at2759,
AT1G01840,,505047at2759,
AT1G01860,PFC1,801320at2759,
AT1G01910,AtGET3a|GET3a,5001993at2759,ENSG00000198356.12|ENSG00000198356.12
AT1G01940,CYP18-1,4916573at2759,ENSG00000240344.10|ENSG00000240344.10
AT1G01990,,298462at2759,
AT1G02000,GAE2,4837599at2759,
AT1G02030,,4765882at2759,ENSG00000166478.10|ENSG00000065029.15|ENSG00000179965.12|ENSG00000169957.10|ENSG00000065029.15|ENSG00000166478.10|ENSG00000169957.10
AT1G02070,,626765at2759,
